상권명,업종,특징_요약,핵심_고객층,시장_유형,평균_재방문율(%),평균_신규방문율(%)
건대입구,동남아/인도음식,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(32.3%) 비중이 높은 곳입니다.",남성 30대 (21.0%),유동인구 중심 (55.8%),32.31,7.38
금남시장,건강식품,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(17.6%) 비중이 높은 곳입니다.",여성 60대이상 (35.9%),거주 중심 (83.4%),17.6,8.49
금남시장,건강원,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 신규 고객(9.3%) 유입이 활발한 곳입니다.",여성 60대이상 (24.4%),거주 중심 (56.7%),8.98,9.3
금남시장,건어물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(35.0%) 비중이 높은 곳입니다.",여성 60대이상 (38.7%),거주 중심 (76.4%),35.01,6.21
금남시장,농산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.4%) 비중이 높은 곳입니다.",여성 60대이상 (30.8%),거주 중심 (56.6%),28.37,8.37
금남시장,담배,"남성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(23.0%) 비중이 높은 곳입니다.",남성 30대 (25.1%),거주 중심 (61.1%),22.97,7.19
금남시장,동남아/인도음식,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.4%) 비중이 높은 곳입니다.","여성 30대 (14.9%), 여성 40대 (16.4%)",거주 중심 (62.7%),28.37,8.46
금남시장,떡/한과 제조,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.3%) 비중이 높은 곳입니다.",여성 60대이상 (24.9%),거주 중심 (73.7%),33.32,6.39
금남시장,룸살롱/단란주점,"남성 60대이상이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(26.0%) 비중이 높은 곳입니다.",남성 60대이상 (37.0%),유동인구 중심 (48.5%),26.03,9.32
금남시장,마카롱,"여성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(23.1%) 비중이 높은 곳입니다.",여성 30대 (20.5%),거주 중심 (63.9%),23.08,8.41
금남시장,미곡상,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.5%) 비중이 높은 곳입니다.",여성 60대이상 (36.3%),거주 중심 (76.8%),33.51,6.55
금남시장,반찬,"여성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(36.8%) 비중이 높은 곳입니다.",여성 50대 (20.1%),거주 중심 (59.5%),36.81,6.2
금남시장,백반/가정식,"남성 50대, 남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(25.6%) 비중이 높은 곳입니다.","남성 50대 (17.6%), 남성 60대이상 (16.5%)",거주 중심 (55.7%),25.63,8.21
금남시장,베이커리,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(31.5%) 비중이 높은 곳입니다.","여성 30대 (16.6%), 여성 40대 (15.3%)",거주 중심 (68.7%),31.48,11.82
금남시장,분식,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.4%) 비중이 높은 곳입니다.","여성 30대 (15.7%), 여성 40대 (14.9%)",거주 중심 (64.0%),33.41,9.12
금남시장,샌드위치/토스트,"여성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(34.3%) 비중이 높은 곳입니다.",여성 30대 (16.2%),거주 중심 (62.1%),34.26,5.99
금남시장,수산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(37.2%) 비중이 높은 곳입니다.",여성 60대이상 (43.6%),거주 중심 (68.8%),37.23,5.96
금남시장,식료품,"여성 50대, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(43.5%) 비중이 높은 곳입니다.","여성 50대 (15.2%), 여성 60대이상 (17.0%)",거주 중심 (58.9%),43.45,9.08
금남시장,식품 제조,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(26.0%) 비중이 높은 곳입니다.",여성 60대이상 (27.1%),거주 중심 (62.0%),25.96,8.01
금남시장,아이스크림/빙수,"남성 30대, 남성 40대, 여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.0%) 비중이 높은 곳입니다.","남성 30대 (14.8%), 남성 40대 (14.6%), 여성 30대 (13.6%), 여성 40대 (13.9%)",거주 중심 (72.2%),33.03,16.09
금남시장,양식,"남성 30대, 여성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(18.8%) 비중이 높은 곳입니다.","남성 30대 (19.7%), 여성 30대 (18.6%)",유동인구 중심 (54.5%),18.75,8.15
금남시장,와인바,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(23.6%) 유입이 활발한 곳입니다.",남성 30대 (23.5%),유동인구 중심 (57.1%),12.19,23.57
금남시장,요리주점,"남성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(22.3%) 비중이 높은 곳입니다.",남성 30대 (23.5%),거주 중심 (50.4%),22.29,9.14
금남시장,이자카야,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(13.0%) 비중이 높은 곳입니다.",남성 30대 (25.1%),유동인구 중심 (52.7%),12.97,7.69
금남시장,일반 유흥주점,"남성 20대이하이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(35.8%) 비중이 높은 곳입니다.",남성 20대이하 (28.1%),유동인구 중심 (57.3%),35.79,23.16
금남시장,일식-샤브샤브,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(57.2%) 유입이 활발한 곳입니다.",남성 30대 (29.8%),유동인구 중심 (51.7%),4.04,57.18
금남시장,일식-우동/소바/라면,"남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(37.1%) 비중이 높은 곳입니다.",남성 50대 (16.6%),거주 중심 (58.0%),37.06,6.21
금남시장,일식당,"남성 30대이(가) 주로 찾는 거주 중심의 시장으로, 신규 고객(19.5%) 유입이 활발한 곳입니다.",남성 30대 (17.9%),거주 중심 (52.0%),15.85,19.48
금남시장,주류,"남성 30대, 남성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.2%) 비중이 높은 곳입니다.","남성 30대 (22.4%), 남성 40대 (23.1%)",거주 중심 (57.2%),28.21,6.05
금남시장,중식-훠궈/마라탕,"남성 20대이하, 남성 30대, 여성 20대이하, 여성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(25.2%) 비중이 높은 곳입니다.","남성 20대이하 (12.8%), 남성 30대 (14.1%), 여성 20대이하 (13.4%), 여성 30대 (13.4%)",거주 중심 (50.4%),25.22,6.11
금남시장,중식당,"남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(29.8%) 비중이 높은 곳입니다.",남성 50대 (17.7%),거주 중심 (66.1%),29.82,11.04
금남시장,청과물,"여성 50대, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(34.5%) 비중이 높은 곳입니다.","여성 50대 (15.9%), 여성 60대이상 (17.7%)",거주 중심 (57.3%),34.53,14.95
금남시장,축산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.0%) 비중이 높은 곳입니다.",여성 60대이상 (23.8%),거주 중심 (75.1%),32.97,7.49
금남시장,치킨,"남성 30대, 남성 40대, 남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(24.4%) 비중이 높은 곳입니다.","남성 30대 (12.4%), 남성 40대 (14.4%), 남성 50대 (13.5%)",거주 중심 (64.7%),24.41,7.82
금남시장,카페,"남성 50대, 여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(31.5%) 비중이 높은 곳입니다.","남성 50대 (13.9%), 여성 30대 (15.3%), 여성 40대 (13.5%)",거주 중심 (60.5%),31.53,8.23
금남시장,커피전문점,"여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(38.7%) 비중이 높은 곳입니다.","여성 30대 (16.7%), 여성 40대 (15.7%)",거주 중심 (63.0%),38.75,8.46
금남시장,테마카페,"남성 30대, 남성 40대, 여성 30대, 여성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.3%) 비중이 높은 곳입니다.","남성 30대 (13.5%), 남성 40대 (13.7%), 여성 30대 (12.8%), 여성 40대 (13.1%)",거주 중심 (59.6%),28.28,6.95
금남시장,포장마차,"남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.3%) 비중이 높은 곳입니다.",남성 60대이상 (24.4%),거주 중심 (59.8%),28.25,9.71
금남시장,피자,"남성 30대, 남성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(25.2%) 비중이 높은 곳입니다.","남성 30대 (15.8%), 남성 40대 (15.1%)",거주 중심 (69.2%),25.23,6.01
금남시장,한식-감자탕,"남성 30대, 남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(17.6%) 비중이 높은 곳입니다.","남성 30대 (17.1%), 남성 50대 (17.1%)",거주 중심 (58.2%),17.62,7.31
금남시장,한식-국밥/설렁탕,"남성 40대, 남성 50대, 남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(21.9%) 비중이 높은 곳입니다.","남성 40대 (16.2%), 남성 50대 (16.0%), 남성 60대이상 (16.8%)",거주 중심 (58.8%),21.89,10.79
금남시장,한식-국수/만두,"남성 60대이상, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.0%) 비중이 높은 곳입니다.","남성 60대이상 (17.7%), 여성 60대이상 (17.3%)",거주 중심 (58.3%),27.96,7.1
금남시장,한식-냉면,"남성 60대이상, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(25.2%) 비중이 높은 곳입니다.","남성 60대이상 (16.9%), 여성 60대이상 (15.0%)",거주 중심 (58.2%),25.19,7.2
금남시장,한식-단품요리일반,"남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(26.9%) 비중이 높은 곳입니다.",남성 60대이상 (16.4%),거주 중심 (55.2%),26.93,9.63
금남시장,한식-육류/고기,"남성 30대, 남성 40대, 남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(19.6%) 비중이 높은 곳입니다.","남성 30대 (14.9%), 남성 40대 (14.4%), 남성 50대 (15.0%)",거주 중심 (56.9%),19.55,8.48
금남시장,한식-죽,"여성 50대, 여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(26.0%) 비중이 높은 곳입니다.","여성 50대 (16.8%), 여성 60대이상 (16.9%)",거주 중심 (74.5%),25.97,6.39
금남시장,한식-찌개/전골,"남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 신규 고객(18.9%) 유입이 활발한 곳입니다.",남성 50대 (19.6%),거주 중심 (52.0%),17.0,18.89
금남시장,한식-해물/생선,"남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(21.2%) 비중이 높은 곳입니다.",남성 60대이상 (20.8%),거주 중심 (61.8%),21.24,8.01
금남시장,햄버거,"남성 30대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(35.6%) 비중이 높은 곳입니다.",남성 30대 (14.5%),거주 중심 (67.1%),35.61,5.96
금남시장,호프/맥주,"남성 40대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(29.8%) 비중이 높은 곳입니다.",남성 40대 (25.0%),거주 중심 (44.7%),29.81,7.03
기타,피자,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(18.1%) 비중이 높은 곳입니다.",남성 30대 (22.4%),유동인구 중심 (61.7%),18.11,6.0
답십리,기타세계요리,"여성 20대이하이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(28.7%) 비중이 높은 곳입니다.",여성 20대이하 (28.1%),유동인구 중심 (72.9%),28.7,13.27
답십리,꼬치구이,"남성 30대, 남성 40대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(25.7%) 비중이 높은 곳입니다.","남성 30대 (18.3%), 남성 40대 (20.0%)",유동인구 중심 (63.8%),25.7,6.64
답십리,농산물,"남성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(33.5%) 비중이 높은 곳입니다.",남성 60대이상 (23.7%),거주 중심 (51.6%),33.5,9.18
답십리,떡/한과 제조,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(29.1%) 비중이 높은 곳입니다.",여성 60대이상 (20.4%),거주 중심 (50.8%),29.06,7.11
답십리,마카롱,"여성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(34.5%) 비중이 높은 곳입니다.",여성 30대 (19.6%),유동인구 중심 (44.1%),34.53,16.31
답십리,미곡상,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(46.8%) 비중이 높은 곳입니다.",여성 60대이상 (28.1%),거주 중심 (79.5%),46.77,5.64
답십리,백반/가정식,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(26.8%) 비중이 높은 곳입니다.",남성 50대 (21.2%),유동인구 중심 (51.8%),26.76,8.35
답십리,베이커리,"여성 20대이하, 여성 30대, 여성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(36.2%) 비중이 높은 곳입니다.","여성 20대이하 (14.1%), 여성 30대 (12.6%), 여성 50대 (12.4%)",유동인구 중심 (56.2%),36.17,6.84
답십리,분식,"남성 20대이하, 남성 30대, 남성 40대, 여성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(26.4%) 비중이 높은 곳입니다.","남성 20대이하 (11.8%), 남성 30대 (13.4%), 남성 40대 (11.9%), 여성 30대 (13.1%)",유동인구 중심 (53.1%),26.37,15.5
답십리,식료품,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(40.9%) 비중이 높은 곳입니다.","남성 20대이하 (16.1%), 남성 30대 (17.7%)",유동인구 중심 (50.3%),40.87,12.53
답십리,식품 제조,"남성 50대, 여성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(24.1%) 비중이 높은 곳입니다.","남성 50대 (15.5%), 여성 50대 (13.7%)",거주 중심 (55.4%),24.06,8.53
답십리,아이스크림/빙수,"남성 20대이하이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(35.5%) 비중이 높은 곳입니다.",남성 20대이하 (18.9%),유동인구 중심 (49.1%),35.45,9.36
답십리,양식,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(31.6%) 유입이 활발한 곳입니다.",남성 30대 (27.9%),유동인구 중심 (64.2%),30.58,31.55
답십리,요리주점,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(24.2%) 비중이 높은 곳입니다.",남성 50대 (16.6%),유동인구 중심 (58.6%),24.16,14.23
답십리,이자카야,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(17.2%) 유입이 활발한 곳입니다.","남성 20대이하 (22.3%), 남성 30대 (24.3%)",유동인구 중심 (70.6%),13.07,17.21
답십리,일반 유흥주점,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(52.4%) 유입이 활발한 곳입니다.","남성 20대이하 (30.2%), 남성 30대 (31.7%)",유동인구 중심 (70.9%),13.54,52.43
답십리,일식-덮밥/돈가스,"남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(30.9%) 유입이 활발한 곳입니다.",남성 30대 (21.8%),유동인구 중심 (43.8%),27.14,30.88
답십리,일식-우동/소바/라면,"남성 20대이하, 남성 30대, 남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(21.2%) 비중이 높은 곳입니다.","남성 20대이하 (13.5%), 남성 30대 (12.7%), 남성 50대 (12.0%)",유동인구 중심 (48.1%),21.19,6.96
답십리,일식-참치회,"남성 40대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(14.5%) 비중이 높은 곳입니다.",남성 40대 (23.2%),유동인구 중심 (69.4%),14.45,8.58
답십리,일식당,"남성 30대, 남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(22.5%) 비중이 높은 곳입니다.","남성 30대 (15.4%), 남성 50대 (16.3%)",유동인구 중심 (65.3%),22.5,10.3
답십리,중식당,"남성 20대이하, 남성 30대, 남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(28.8%) 비중이 높은 곳입니다.","남성 20대이하 (15.8%), 남성 30대 (16.4%), 남성 50대 (15.5%)",유동인구 중심 (55.0%),28.78,8.6
답십리,청과물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(38.0%) 비중이 높은 곳입니다.",여성 60대이상 (18.8%),거주 중심 (62.3%),37.97,10.35
답십리,축산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(38.8%) 비중이 높은 곳입니다.",여성 60대이상 (20.3%),거주 중심 (52.6%),38.77,10.35
답십리,치킨,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(24.0%) 비중이 높은 곳입니다.",남성 50대 (17.9%),유동인구 중심 (47.5%),23.96,9.91
답십리,카페,"남성 30대, 여성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(27.9%) 비중이 높은 곳입니다.","남성 30대 (14.4%), 여성 30대 (14.5%)",유동인구 중심 (50.2%),27.93,16.43
답십리,커피전문점,"남성 20대이하, 여성 20대이하이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(37.0%) 비중이 높은 곳입니다.","남성 20대이하 (16.6%), 여성 20대이하 (15.2%)",유동인구 중심 (53.5%),36.96,9.65
답십리,테이크아웃커피,"남성 30대, 여성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(34.5%) 유입이 활발한 곳입니다.","남성 30대 (16.0%), 여성 30대 (17.8%)",유동인구 중심 (43.1%),29.03,34.53
답십리,한식-국밥/설렁탕,"남성 50대이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(28.3%) 비중이 높은 곳입니다.",남성 50대 (22.2%),거주 중심 (43.1%),28.31,6.36
답십리,한식-국수/만두,"남성 50대, 여성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(24.5%) 비중이 높은 곳입니다.","남성 50대 (14.9%), 여성 50대 (13.1%)",유동인구 중심 (53.6%),24.48,10.64
답십리,한식-냉면,"남성 50대, 남성 60대이상이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(27.3%) 비중이 높은 곳입니다.","남성 50대 (21.1%), 남성 60대이상 (21.2%)",유동인구 중심 (44.1%),27.31,9.02
답십리,한식-단품요리일반,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(27.1%) 비중이 높은 곳입니다.",남성 50대 (21.4%),유동인구 중심 (49.1%),27.08,9.05
답십리,한식-육류/고기,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(22.2%) 비중이 높은 곳입니다.",남성 50대 (16.2%),유동인구 중심 (58.5%),22.25,8.38
답십리,한식-찌개/전골,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(29.7%) 비중이 높은 곳입니다.",남성 50대 (19.2%),유동인구 중심 (60.5%),29.72,12.62
답십리,한식-해물/생선,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(21.2%) 비중이 높은 곳입니다.",남성 50대 (20.3%),유동인구 중심 (57.7%),21.18,9.13
답십리,한식뷔페,"남성 30대, 남성 40대, 남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(23.6%) 비중이 높은 곳입니다.","남성 30대 (17.4%), 남성 40대 (15.8%), 남성 50대 (15.4%)",유동인구 중심 (60.0%),23.64,10.91
답십리,호프/맥주,"남성 50대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(21.8%) 비중이 높은 곳입니다.",남성 50대 (31.3%),유동인구 중심 (57.6%),21.77,10.6
동대문역사문화공원역,치킨,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(15.0%) 비중이 높은 곳입니다.","남성 20대이하 (19.7%), 남성 30대 (19.3%)",유동인구 중심 (93.3%),15.03,14.26
뚝섬,기타세계요리,"여성 20대이하이(가) 주로 찾는 유동인구 중심의 시장으로, 신규 고객(25.2%) 유입이 활발한 곳입니다.",여성 20대이하 (28.8%),유동인구 중심 (76.8%),4.25,25.22
뚝섬,꼬치구이,"남성 20대이하, 남성 30대이(가) 주로 찾는 유동인구 중심의 시장으로, 재방문 고객(8.1%) 비중이 높은 곳입니다.","남성 20대이하 (21.6%), 남성 30대 (22.7%)",유동인구 중심 (65.7%),8.14,7.98
뚝섬,농산물,"여성 60대이상이(가) 주로 찾는 거주 중심의 시장으로, 재방문 고객(38.2%) 비중이 높은 곳입니다.",여성 60대이상 (21.2%),거주 중심 (72.4%),38.15,6.32
